99999 1 2
50033 99934 50033 1
78359 43282 78359 1
60191 79618 60191 1
16581 33161 16581 1
88930 22140 88930 1
38027 76053 38027 1
63305 73390 63305 1
24554 49107 24554 1
25266 50531 25266 1
16882 33763 16882 1
26261 52521 26261 1
36114 72227 36114 1
21990 43979 21990 1
54024 91952 54024 1
8788 17575 8788 1
69182 61636 69182 1
71116 57768 71116 1
70538 58924 70538 1
87084 25832 87084 1
64126 71748 64126 1
11761 23521 11761 1
37732 75463 37732 1
42006 84011 42006 1
72459 55082 72459 1
91771 16458 91771 1
15604 31207 15604 1
33153 66305 33153 1
70433 59134 70433 1
66164 67672 66164 1
2947 5893 2947 1
39333 78665 39333 1
97420 5160 97420 1
83572 32856 83572 1
34823 69645 34823 1
52166 95668 52166 1
60140 79720 60140 1
25442 50883 25442 1
15292 30583 15292 1
79283 41434 79283 1
26144 52287 26144 1
51553 96894 51553 1
60290 79420 60290 1
13156 26311 13156 1
29393 58785 29393 1
37504 75007 37504 1
8606 17211 8606 1
69638 60724 69638 1
39497 78993 39497 1
34977 69953 34977 1
98601 2798 98601 1
76769 46462 76769 1
55123 89754 55123 1
14771 29541 14771 1
58988 82024 58988 1
5198 10395 5198 1
4190 8379 4190 1
83991 32018 83991 1
36364 72727 36364 1
6454 12907 6454 1
74382 51236 74382 1
923 1845 923 1
55661 88678 55661 1
31410 62819 31410 1
45405 90809 45405 1
27008 54015 27008 1
713 1425 713 1
24299 48597 24299 1
64841 70318 64841 1
11795 23589 11795 1
55926 88148 55926 1
52458 95084 52458 1
18222 36443 18222 1
62377 75246 62377 1
53683 92634 53683 1
15637 31273 15637 1
11839 23677 11839 1
52445 95110 52445 1
24936 49871 24936 1
39898 79795 39898 1
11846 23691 11846 1
72138 55724 72138 1
98736 2528 98736 1
99607 786 99607 1
244 487 244 1
15695 31389 15695 1
76976 46048 76976 1
70996 58008 70996 1
71024 57952 71024 1
12268 24535 12268 1
975 1949 975 1
83819 32362 83819 1
72192 55616 72192 1
30304 60607 30304 1
50818 98364 50818 1
74874 50252 74874 1
71885 56230 71885 1
86406 27188 86406 1
20488 40975 20488 1
24882 49763 24882 1
97997 4006 97997 1
25098 50195 25098 1
76608 46784 76608 1
63902 72196 63902 1
90160 19680 90160 1
48523 97045 48523 1
39781 79561 39781 1
60433 79134 60433 1
27721 55441 27721 1
19392 38783 19392 1
14157 28313 14157 1
44728 89455 44728 1
90997 18006 90997 1
47481 94961 47481 1
97644 4712 97644 1
48557 97113 48557 1
81863 36274 81863 1
19833 39665 19833 1
30387 60773 30387 1
91012 17976 91012 1
78911 42178 78911 1
94635 10730 94635 1
24610 49219 24610 1
20055 40109 20055 1
61874 76252 61874 1
48983 97965 48983 1
79863 40274 79863 1
68362 63276 68362 1
64693 70614 64693 1
25530 51059 25530 1
17095 34189 17095 1
32454 64907 32454 1
32315 64629 32315 1
19373 38745 19373 1
89339 21322 89339 1
75768 48464 75768 1
53779 92442 53779 1
30665 61329 30665 1
13462 26923 13462 1
33544 67087 33544 1
19006 38011 19006 1
90008 19984 90008 1
86195 27610 86195 1
215 429 215 1
97530 4940 97530 1
94373 11254 94373 1
61027 77946 61027 1
16924 33847 16924 1
44518 89035 44518 1
62916 74168 62916 1
27244 54487 27244 1
15690 31379 15690 1
52354 95292 52354 1
2713 5425 2713 1
67156 65688 67156 1
40609 81217 40609 1
64086 71828 64086 1
17199 34397 17199 1
37372 74743 37372 1
26646 53291 26646 1
74681 50638 74681 1
53101 93798 53101 1
56447 87106 56447 1
32526 65051 32526 1
54132 91736 54132 1
41190 82379 41190 1
21109 42217 21109 1
57935 84130 57935 1
26855 53709 26855 1
56387 87226 56387 1
78658 42684 78658 1
51591 96818 51591 1
54982 90036 54982 1
96747 6506 96747 1
55629 88742 55629 1
46699 93397 46699 1
64113 71774 64113 1
41277 82553 41277 1
74814 50372 74814 1
45851 91701 45851 1
80909 38182 80909 1
10674 21347 10674 1
16163 32325 16163 1
8178 16355 8178 1
81188 37624 81188 1
6007 12013 6007 1
20226 40451 20226 1
19100 38199 19100 1
43294 86587 43294 1
95366 9268 95366 1
8603 17205 8603 1
42958 85915 42958 1
3233 6465 3233 1
32508 65015 32508 1
42827 85653 42827 1
47171 94341 47171 1
1194 2387 1194 1
51505 96990 51505 1
58330 83340 58330 1
56025 87950 56025 1
28605 57209 28605 1
68736 62528 68736 1
7065 14129 7065 1
7817 15633 7817 1
94829 10342 94829 1
71066 57868 71066 1
64626 70748 64626 1
23536 47071 23536 1
45941 91881 45941 1
68452 63096 68452 1
52266 95468 52266 1
81990 36020 81990 1
62356 75288 62356 1
30249 60497 30249 1
39307 78613 39307 1
21108 42215 21108 1
64946 70108 64946 1
47152 94303 47152 1
50487 99026 50487 1
22474 44947 22474 1
16764 33527 16764 1
28911 57821 28911 1
54476 91048 54476 1
63255 73490 63255 1
57259 85482 57259 1
89858 20284 89858 1
37228 74455 37228 1
81807 36386 81807 1
28547 57093 28547 1
31621 63241 31621 1
37617 75233 37617 1
41003 82005 41003 1
1777 3553 1777 1
46335 92669 46335 1
63457 73086 63457 1
46856 93711 46856 1
37757 75513 37757 1
4184 8367 4184 1
2677 5353 2677 1
84653 30694 84653 1
33462 66923 33462 1
95681 8638 95681 1
94037 11926 94037 1
80993 38014 80993 1
28713 57425 28713 1
33530 67059 33530 1
8207 16413 8207 1
74870 50260 74870 1
89881 20238 89881 1
84312 31376 84312 1
27630 55259 27630 1
60186 79628 60186 1
5505 11009 5505 1
38947 77893 38947 1
40272 80543 40272 1
18442 36883 18442 1
42012 84023 42012 1
99485 1030 99485 1
22375 44749 22375 1
86258 27484 86258 1
65467 69066 65467 1
50095 99810 50095 1
4674 9347 4674 1
6149 12297 6149 1
43731 87461 43731 1
37501 75001 37501 1
17526 35051 17526 1
27981 55961 27981 1
9386 18771 9386 1
41647 83293 41647 1
27524 55047 27524 1
81139 37722 81139 1
25535 51069 25535 1
2304 4607 2304 1
51170 97660 51170 1
84001 31998 84001 1
61303 77394 61303 1
57735 84530 57735 1
49501 99001 49501 1
59375 81250 59375 1
45114 90227 45114 1
59397 81206 59397 1
13893 27785 13893 1
73092 53816 73092 1
81159 37682 81159 1
83493 33014 83493 1
10661 21321 10661 1
76855 46290 76855 1
60126 79748 60126 1
23609 47217 23609 1
63069 73862 63069 1
78866 42268 78866 1
64849 70302 64849 1
73969 52062 73969 1
94671 10658 94671 1
51657 96686 51657 1
56223 87554 56223 1
60307 79386 60307 1
34631 69261 34631 1
21140 42279 21140 1
19637 39273 19637 1
26505 53009 26505 1
20903 41805 20903 1
43896 87791 43896 1
51071 97858 51071 1
57779 84442 57779 1
86899 26202 86899 1
27078 54155 27078 1
15815 31629 15815 1
65799 68402 65799 1
17469 34937 17469 1
16953 33905 16953 1
73930 52140 73930 1
5150 10299 5150 1
86466 27068 86466 1
8822 17643 8822 1
36207 72413 36207 1
11725 23449 11725 1
1046 2091 1046 1
14271 28541 14271 1
12463 24925 12463 1
38357 76713 38357 1
6979 13957 6979 1
37839 75677 37839 1
62496 75008 62496 1
89523 20954 89523 1
66769 66462 66769 1
31077 62153 31077 1
12139 24277 12139 1
41867 83733 41867 1
39803 79605 39803 1
24167 48333 24167 1
66497 67006 66497 1
20764 41527 20764 1
4246 8491 4246 1
30450 60899 30450 1
43924 87847 43924 1
94342 11316 94342 1
79881 40238 79881 1
12112 24223 12112 1
82195 35610 82195 1
71063 57874 71063 1
27953 55905 27953 1
6858 13715 6858 1
78312 43376 78312 1
76355 47290 76355 1
12188 24375 12188 1
84474 31052 84474 1
8884 17767 8884 1
42286 84571 42286 1
51349 97302 51349 1
53496 93008 53496 1
9197 18393 9197 1
54479 91042 54479 1
35440 70879 35440 1
57573 84854 57573 1
24263 48525 24263 1
91307 17386 91307 1
82287 35426 82287 1
57418 85164 57418 1
17472 34943 17472 1
82582 34836 82582 1
3377 6753 3377 1
35647 71293 35647 1
68347 63306 68347 1
86993 26014 86993 1
44996 89991 44996 1
7210 14419 7210 1
40404 80807 40404 1
961 1921 961 1
13739 27477 13739 1
15938 31875 15938 1
54959 90082 54959 1
7889 15777 7889 1
16463 32925 16463 1
28889 57777 28889 1
20574 41147 20574 1
73312 53376 73312 1
60396 79208 60396 1
45585 91169 45585 1
16500 32999 16500 1
86499 27002 86499 1
49954 99907 49954 1
6879 13757 6879 1
79770 40460 79770 1
79877 40246 79877 1
42035 84069 42035 1
60074 79852 60074 1
97090 5820 97090 1
2504 5007 2504 1
46461 92921 46461 1
94969 10062 94969 1
61082 77836 61082 1
83344 33312 83344 1
27817 55633 27817 1
50041 99918 50041 1
88754 22492 88754 1
20578 41155 20578 1
82804 34392 82804 1
55285 89430 55285 1
16543 33085 16543 1
17853 35705 17853 1
82501 34998 82501 1
98863 2274 98863 1
67720 64560 67720 1
40972 81943 40972 1
42792 85583 42792 1
74702 50596 74702 1
39095 78189 39095 1
23973 47945 23973 1
51612 96776 51612 1
44354 88707 44354 1
35765 71529 35765 1
13011 26021 13011 1
19433 38865 19433 1
40936 81871 40936 1
92158 15684 92158 1
263 525 263 1
59047 81906 59047 1
43723 87445 43723 1
72657 54686 72657 1
95238 9524 95238 1
1034 2067 1034 1
10143 20285 10143 1
48349 96697 48349 1
23997 47993 23997 1
47861 95721 47861 1
36870 73739 36870 1
55080 89840 55080 1
64695 70610 64695 1
24634 49267 24634 1
28232 56463 28232 1
17367 34733 17367 1
75863 48274 75863 1
32521 65041 32521 1
58694 82612 58694 1
33615 67229 33615 1
14417 28833 14417 1
79658 40684 79658 1
54699 90602 54699 1
68997 62006 68997 1
3318 6635 3318 1
8853 17705 8853 1
13043 26085 13043 1
55880 88240 55880 1
25875 51749 25875 1
77058 45884 77058 1
15200 30399 15200 1
17618 35235 17618 1
12035 24069 12035 1
94357 11286 94357 1
13246 26491 13246 1
64656 70688 64656 1
68879 62242 68879 1
41079 82157 41079 1
15219 30437 15219 1
956 1911 956 1
68784 62432 68784 1
73822 52356 73822 1
86188 27624 86188 1
4229 8457 4229 1
49192 98383 49192 1
72088 55824 72088 1
59859 80282 59859 1
23956 47911 23956 1
47530 95059 47530 1
93294 13412 93294 1
55251 89498 55251 1
49147 98293 49147 1
10230 20459 10230 1
64642 70716 64642 1
78540 42920 78540 1
23407 46813 23407 1
13202 26403 13202 1
97367 5266 97367 1
85490 29020 85490 1
11204 22407 11204 1
95260 9480 95260 1
99880 240 99880 1
16802 33603 16802 1
6264 12527 6264 1
16495 32989 16495 1
76103 47794 76103 1
56202 87596 56202 1
93237 13526 93237 1
45441 90881 45441 1
86485 27030 86485 1
85291 29418 85291 1
18309 36617 18309 1
96147 7706 96147 1
22023 44045 22023 1
4950 9899 4950 1
90104 19792 90104 1
72442 55116 72442 1
24866 49731 24866 1
97437 5126 97437 1
13113 26225 13113 1
35466 70931 35466 1
17172 34343 17172 1
78373 43254 78373 1
92209 15582 92209 1
44940 89879 44940 1
18643 37285 18643 1
31923 63845 31923 1
1214 2427 1214 1
452 903 452 1
91368 17264 91368 1
38735 77469 38735 1
81332 37336 81332 1
75701 48598 75701 1
35207 70413 35207 1
37571 75141 37571 1
30039 60077 30039 1
26349 52697 26349 1
16705 33409 16705 1
77183 45634 77183 1
18092 36183 18092 1
33281 66561 33281 1
73794 52412 73794 1
84155 31690 84155 1
69605 60790 69605 1
30108 60215 30108 1
75577 48846 75577 1
12562 25123 12562 1
37129 74257 37129 1
32646 65291 32646 1
20281 40561 20281 1
82783 34434 82783 1
81869 36262 81869 1
11728 23455 11728 1
2106 4211 2106 1
55247 89506 55247 1
17696 35391 17696 1
94578 10844 94578 1
64231 71538 64231 1
71898 56204 71898 1
24805 49609 24805 1
55480 89040 55480 1
68829 62342 68829 1
48739 97477 48739 1
31474 62947 31474 1
45567 91133 45567 1
14871 29741 14871 1
2565 5129 2565 1
84338 31324 84338 1
11722 23443 11722 1
85604 28792 85604 1
48499 96997 48499 1
42825 85649 42825 1
93380 13240 93380 1
60559 78882 60559 1
91176 17648 91176 1
6293 12585 6293 1
97419 5162 97419 1
13094 26187 13094 1
59926 80148 59926 1
82555 34890 82555 1
11591 23181 11591 1
85190 29620 85190 1
977 1953 977 1
20441 40881 20441 1
37507 75013 37507 1
62102 75796 62102 1
85461 29078 85461 1
46941 93881 46941 1
33161 66321 33161 1
59109 81782 59109 1
48850 97699 48850 1
79461 41078 79461 1
17670 35339 17670 1
74530 50940 74530 1
99693 614 99693 1
53102 93796 53102 1
70549 58902 70549 1
90923 18154 90923 1
43324 86647 43324 1
53980 92040 53980 1
60179 79642 60179 1
11733 23465 11733 1
22560 45119 22560 1
79334 41332 79334 1
37795 75589 37795 1
64574 70852 64574 1
32598 65195 32598 1
40711 81421 40711 1
83635 32730 83635 1
13593 27185 13593 1
57214 85572 57214 1
74212 51576 74212 1
85751 28498 85751 1
78081 43838 78081 1
18513 37025 18513 1
58120 83760 58120 1
36667 73333 36667 1
76819 46362 76819 1
29821 59641 29821 1
1960 3919 1960 1
32100 64199 32100 1
20409 40817 20409 1
75232 49536 75232 1
79064 41872 79064 1
46838 93675 46838 1
59128 81744 59128 1
20726 41451 20726 1
14488 28975 14488 1
72212 55576 72212 1
92552 14896 92552 1
17497 34993 17497 1
16254 32507 16254 1
53539 92922 53539 1
73504 52992 73504 1
86362 27276 86362 1
29079 58157 29079 1
73301 53398 73301 1
88139 23722 88139 1
68462 63076 68462 1
58804 82392 58804 1
90365 19270 90365 1
15682 31363 15682 1
96737 6526 96737 1
15189 30377 15189 1
6530 13059 6530 1
97993 4014 97993 1
85713 28574 85713 1
91786 16428 91786 1
29870 59739 29870 1
53444 93112 53444 1
76950 46100 76950 1
2178 4355 2178 1
72462 55076 72462 1
26476 52951 26476 1
99035 1930 99035 1
83022 33956 83022 1
34498 68995 34498 1
64143 71714 64143 1
60166 79668 60166 1
65859 68282 65859 1
54592 90816 54592 1
2916 5831 2916 1
96990 6020 96990 1
48146 96291 48146 1
67205 65590 67205 1
91497 17006 91497 1
57234 85532 57234 1
95499 9002 95499 1
31728 63455 31728 1
94418 11164 94418 1
53933 92134 53933 1
50439 99122 50439 1
83198 33604 83198 1
36725 73449 36725 1
21073 42145 21073 1
22411 44821 22411 1
33977 67953 33977 1
87609 24782 87609 1
25077 50153 25077 1
10907 21813 10907 1
416 831 416 1
22752 45503 22752 1
23871 47741 23871 1
29066 58131 29066 1
52915 94170 52915 1
53237 93526 53237 1
48472 96943 48472 1
88959 22082 88959 1
27591 55181 27591 1
25974 51947 25974 1
67753 64494 67753 1
54883 90234 54883 1
48918 97835 48918 1
8721 17441 8721 1
37829 75657 37829 1
87865 24270 87865 1
281 561 281 1
54410 91180 54410 1
63958 72084 63958 1
98929 2142 98929 1
66414 67172 66414 1
47289 94577 47289 1
23327 46653 23327 1
83760 32480 83760 1
1272 2543 1272 1
3267 6533 3267 1
77743 44514 77743 1
23350 46699 23350 1
86865 26270 86865 1
24537 49073 24537 1
48101 96201 48101 1
5289 10577 5289 1
47311 94621 47311 1
57989 84022 57989 1
33611 67221 33611 1
43820 87639 43820 1
5572 11143 5572 1
92882 14236 92882 1
96884 6232 96884 1
42923 85845 42923 1
19935 39869 19935 1
98476 3048 98476 1
17061 34121 17061 1
31880 63759 31880 1
9374 18747 9374 1
34677 69353 34677 1
89763 20474 89763 1
71715 56570 71715 1
42839 85677 42839 1
43084 86167 43084 1
61649 76702 61649 1
57849 84302 57849 1
18795 37589 18795 1
88694 22612 88694 1
5261 10521 5261 1
53449 93102 53449 1
78286 43428 78286 1
54281 91438 54281 1
88859 22282 88859 1
20952 41903 20952 1
14725 29449 14725 1
65868 68264 65868 1
91749 16502 91749 1
8938 17875 8938 1
30466 60931 30466 1
3683 7365 3683 1
25455 50909 25455 1
83096 33808 83096 1
97828 4344 97828 1
19220 38439 19220 1
9200 18399 9200 1
90149 19702 90149 1
32335 64669 32335 1
17092 34183 17092 1
36669 73337 36669 1
58795 82410 58795 1
15836 31671 15836 1
43713 87425 43713 1
96138 7724 96138 1
30243 60485 30243 1
43743 87485 43743 1
33710 67419 33710 1
18344 36687 18344 1
97640 4720 97640 1
47198 94395 47198 1
1208 2415 1208 1
58042 83916 58042 1
78442 43116 78442 1
30468 60935 30468 1
17764 35527 17764 1
93010 13980 93010 1
57927 84146 57927 1
11376 22751 11376 1
37934 75867 37934 1
76048 47904 76048 1
7942 15883 7942 1
82669 34662 82669 1
85770 28460 85770 1
13445 26889 13445 1
97431 5138 97431 1
33914 67827 33914 1
29491 58981 29491 1
46377 92753 46377 1
19150 38299 19150 1
79506 40988 79506 1
74873 50254 74873 1
95687 8626 95687 1
93264 13472 93264 1
29738 59475 29738 1
5935 11869 5935 1
7321 14641 7321 1
47852 95703 47852 1
77695 44610 77695 1
75152 49696 75152 1
40289 80577 40289 1
68870 62260 68870 1
50734 98532 50734 1
79800 40400 79800 1
62530 74940 62530 1
33552 67103 33552 1
5896 11791 5896 1
3792 7583 3792 1
80067 39866 80067 1
45918 91835 45918 1
58841 82318 58841 1
82371 35258 82371 1
10773 21545 10773 1
32402 64803 32402 1
21972 43943 21972 1
59274 81452 59274 1
38087 76173 38087 1
62138 75724 62138 1
77601 44798 77601 1
86389 27222 86389 1
63864 72272 63864 1
94396 11208 94396 1
50892 98216 50892 1
60464 79072 60464 1
10100 20199 10100 1
18274 36547 18274 1
48047 96093 48047 1
70535 58930 70535 1
6246 12491 6246 1
94079 11842 94079 1
91765 16470 91765 1
32188 64375 32188 1
8641 17281 8641 1
60114 79772 60114 1
30885 61769 30885 1
33999 67997 33999 1
50912 98176 50912 1
63501 72998 63501 1
90568 18864 90568 1
19876 39751 19876 1
63579 72842 63579 1
68231 63538 68231 1
21387 42773 21387 1
55160 89680 55160 1
5072 10143 5072 1
17388 34775 17388 1
92923 14154 92923 1
34933 69865 34933 1
63452 73096 63452 1
78780 42440 78780 1
30725 61449 30725 1
28321 56641 28321 1
40917 81833 40917 1
82703 34594 82703 1
38895 77789 38895 1
31316 62631 31316 1
86966 26068 86966 1
2939 5877 2939 1
96338 7324 96338 1
3723 7445 3723 1
10175 20349 10175 1
20983 41965 20983 1
67234 65532 67234 1
2038 4075 2038 1
48257 96513 48257 1
21560 43119 21560 1
8563 17125 8563 1
40497 80993 40497 1
1156 2311 1156 1
52599 94802 52599 1
39054 78107 39054 1
31461 62921 31461 1
22402 44803 22402 1
70144 59712 70144 1
71041 57918 71041 1
84992 30016 84992 1
66081 67838 66081 1
55479 89042 55479 1
18840 37679 18840 1
25882 51763 25882 1
22949 45897 22949 1
53448 93104 53448 1
32425 64849 32425 1
5403 10805 5403 1
17263 34525 17263 1
19176 38351 19176 1
69507 60986 69507 1
54572 90856 54572 1
53668 92664 53668 1
43041 86081 43041 1
8117 16233 8117 1
26092 52183 26092 1
25684 51367 25684 1
42743 85485 42743 1
91229 17542 91229 1
45883 91765 45883 1
65372 69256 65372 1
49216 98431 49216 1
2290 4579 2290 1
26712 53423 26712 1
52637 94726 52637 1
21993 43985 21993 1
6557 13113 6557 1
5466 10931 5466 1
80489 39022 80489 1
87648 24704 87648 1
71221 57558 71221 1
2861 5721 2861 1
87975 24050 87975 1
96562 6876 96562 1
13363 26725 13363 1
34101 68201 34101 1
17762 35523 17762 1
10343 20685 10343 1
88354 23292 88354 1
78199 43602 78199 1
5838 11675 5838 1
89829 20342 89829 1
56268 87464 56268 1
56122 87756 56122 1
45607 91213 45607 1
90667 18666 90667 1
51464 97072 51464 1
40019 80037 40019 1
9255 18509 9255 1
57030 85940 57030 1
29699 59397 29699 1
35018 70035 35018 1
4020 8039 4020 1
71769 56462 71769 1
16731 33461 16731 1
23035 46069 23035 1
73039 53922 73039 1
92316 15368 92316 1
62524 74952 62524 1
18685 37369 18685 1
88123 23754 88123 1
99863 274 99863 1
58022 83956 58022 1
5892 11783 5892 1
10524 21047 10524 1
80750 38500 80750 1
91444 17112 91444 1
62674 74652 62674 1
17749 35497 17749 1
60907 78186 60907 1
77733 44534 77733 1
49605 99209 49605 1
98833 2334 98833 1
75999 48002 75999 1
91432 17136 91432 1
71564 56872 71564 1
12341 24681 12341 1
66257 67486 66257 1
25154 50307 25154 1
54128 91744 54128 1
13745 27489 13745 1
19967 39933 19967 1
88822 22356 88822 1
62529 74942 62529 1
39296 78591 39296 1
61228 77544 61228 1
5888 11775 5888 1
93944 12112 93944 1
99518 964 99518 1
37994 75987 37994 1
71510 56980 71510 1
76991 46018 76991 1
8810 17619 8810 1
70906 58188 70906 1
35519 71037 35519 1
62086 75828 62086 1
12741 25481 12741 1
10080 20159 10080 1
30679 61357 30679 1
54038 91924 54038 1
91736 16528 91736 1
94742 10516 94742 1
13588 27175 13588 1
90511 18978 90511 1
89932 20136 89932 1
68011 63978 68011 1
14071 28141 14071 1
27822 55643 27822 1
1964 3927 1964 1
45937 91873 45937 1
65683 68634 65683 1
34242 68483 34242 1
79193 41614 79193 1
55707 88586 55707 1
21057 42113 21057 1
28320 56639 28320 1
59419 81162 59419 1
5362 10723 5362 1
81222 37556 81222 1
38752 77503 38752 1
9716 19431 9716 1
74602 50796 74602 1
99210 1580 99210 1
11963 23925 11963 1
94514 10972 94514 1
70844 58312 70844 1
17017 34033 17017 1
70393 59214 70393 1
37331 74661 37331 1
35081 70161 35081 1
5933 11865 5933 1
62880 74240 62880 1
38971 77941 38971 1
74921 50158 74921 1
42563 85125 42563 1
73199 53602 73199 1
21373 42745 21373 1
6369 12737 6369 1
27751 55501 27751 1
72901 54198 72901 1
87220 25560 87220 1
92885 14230 92885 1
67598 64804 67598 1
62979 74042 62979 1
32856 65711 32856 1
23334 46667 23334 1
50052 99896 50052 1
13399 26797 13399 1
61859 76282 61859 1
14343 28685 14343 1
73912 52176 73912 1
57403 85194 57403 1
24348 48695 24348 1
32988 65975 32988 1
10273 20545 10273 1
69047 61906 69047 1
67148 65704 67148 1
94262 11476 94262 1
58650 82700 58650 1
13256 26511 13256 1
92196 15608 92196 1
37311 74621 37311 1
1283 2565 1283 1
24655 49309 24655 1
93768 12464 93768 1
54186 91628 54186 1
79081 41838 79081 1
93743 12514 93743 1
19144 38287 19144 1
56930 86140 56930 1
76199 47602 76199 1
34748 69495 34748 1
72025 55950 72025 1
95673 8654 95673 1
77535 44930 77535 1
33025 66049 33025 1
50089 99822 50089 1
45253 90505 45253 1
74375 51250 74375 1
85039 29922 85039 1
90738 18524 90738 1
64367 71266 64367 1
75755 48490 75755 1
54591 90818 54591 1
5458 10915 5458 1
38737 77473 38737 1
51676 96648 51676 1
680 1359 680 1
86471 27058 86471 1
88086 23828 88086 1
33355 66709 33355 1
50351 99298 50351 1
41489 82977 41489 1
74670 50660 74670 1
61454 77092 61454 1
99466 1068 99466 1
68948 62104 68948 1
70627 58746 70627 1
91144 17712 91144 1
82769 34462 82769 1
50571 98858 50571 1
82023 35954 82023 1
75748 48504 75748 1
63951 72098 63951 1
87913 24174 87913 1
96249 7502 96249 1
72306 55388 72306 1
68142 63716 68142 1
26245 52489 26245 1
60423 79154 60423 1
5554 11107 5554 1
23532 47063 23532 1
14117 28233 14117 1
1620 3239 1620 1
80421 39158 80421 1
77851 44298 77851 1
16823 33645 16823 1
65420 69160 65420 1
68281 63438 68281 1
84347 31306 84347 1
94928 10144 94928 1
10913 21825 10913 1
29106 58211 29106 1
82461 35078 82461 1
23050 46099 23050 1
91591 16818 91591 1
73266 53468 73266 1
3732 7463 3732 1
2200 4399 2200 1
97217 5566 97217 1
29972 59943 29972 1
85844 28312 85844 1
52075 95850 52075 1
80695 38610 80695 1
95479 9042 95479 1
50088 99824 50088 1
67228 65544 67228 1
69369 61262 69369 1
75099 49802 75099 1
56665 86670 56665 1
68154 63692 68154 1
30639 61277 30639 1
65511 68978 65511 1
1170 2339 1170 1
66393 67214 66393 1
5098 10195 5098 1
51326 97348 51326 1
90585 18830 90585 1
55973 88054 55973 1
40697 81393 40697 1
10554 21107 10554 1
80826 38348 80826 1
69398 61204 69398 1
39792 79583 39792 1
85465 29070 85465 1
2283 4565 2283 1
39141 78281 39141 1
53982 92036 53982 1
65136 69728 65136 1
43300 86599 43300 1
7954 15907 7954 1
55722 88556 55722 1
76500 47000 76500 1
86822 26356 86822 1
98703 2594 98703 1
38093 76185 38093 1
73973 52054 73973 1
11110 22219 11110 1
58681 82638 58681 1
80469 39062 80469 1
23736 47471 23736 1
24345 48689 24345 1
15693 31385 15693 1
30438 60875 30438 1
78833 42334 78833 1
43461 86921 43461 1
55104 89792 55104 1
52548 94904 52548 1
86854 26292 86854 1
18728 37455 18728 1
15494 30987 15494 1
70520 58960 70520 1
58464 83072 58464 1
16560 33119 16560 1
62221 75558 62221 1
81987 36026 81987 1
29846 59691 29846 1
50301 99398 50301 1
54579 90842 54579 1
51412 97176 51412 1
4303 8605 4303 1
67776 64448 67776 1
41646 83291 41646 1
24105 48209 24105 1
35004 70007 35004 1
24854 49707 24854 1
66559 66882 66559 1
43805 87609 43805 1
85194 29612 85194 1
26670 53339 26670 1
85647 28706 85647 1
66070 67860 66070 1
13127 26253 13127 1
4883 9765 4883 1
53071 93858 53071 1
35576 71151 35576 1
28559 57117 28559 1
91345 17310 91345 1
30140 60279 30140 1
29355 58709 29355 1
88459 23082 88459 1
94850 10300 94850 1
54487 91026 54487 1
59052 81896 59052 1
36162 72323 36162 1
6087 12173 6087 1
27757 55513 27757 1
84750 30500 84750 1
32944 65887 32944 1
12046 24091 12046 1
36300 72599 36300 1
8916 17831 8916 1
24993 49985 24993 1
78191 43618 78191 1
39838 79675 39838 1
75792 48416 75792 1
82092 35816 82092 1
29417 58833 29417 1
86832 26336 86832 1
87158 25684 87158 1
89771 20458 89771 1
47315 94629 47315 1
87673 24654 87673 1
26933 53865 26933 1
86997 26006 86997 1
48635 97269 48635 1
69793 60414 69793 1
20303 40605 20303 1
62965 74070 62965 1
66222 67556 66222 1
97435 5130 97435 1
8579 17157 8579 1
96547 6906 96547 1
34803 69605 34803 1
81004 37992 81004 1
51868 96264 51868 1
43850 87699 43850 1
12376 24751 12376 1
2629 5257 2629 1
55749 88502 55749 1
97918 4164 97918 1
85432 29136 85432 1
40082 80163 40082 1
55655 88690 55655 1
53461 93078 53461 1
28595 57189 28595 1
49569 99137 49569 1
93734 12532 93734 1
79682 40636 79682 1
57884 84232 57884 1
23361 46721 23361 1
76188 47624 76188 1
92406 15188 92406 1
18665 37329 18665 1
97282 5436 97282 1
56231 87538 56231 1
68450 63100 68450 1
74459 51082 74459 1
40899 81797 40899 1
41352 82703 41352 1
42481 84961 42481 1
65126 69748 65126 1
75350 49300 75350 1
39275 78549 39275 1
23016 46031 23016 1
69918 60164 69918 1
85149 29702 85149 1
9674 19347 9674 1
58575 82850 58575 1
98635 2730 98635 1
733 1465 733 1
84228 31544 84228 1
37599 75197 37599 1
46614 93227 46614 1
16569 33137 16569 1
91755 16490 91755 1
19126 38251 19126 1
82001 35998 82001 1
61236 77528 61236 1
77371 45258 77371 1
93153 13694 93153 1
24964 49927 24964 1
87016 25968 87016 1
14759 29517 14759 1
47800 95599 47800 1
2938 5875 2938 1
49787 99573 49787 1
51841 96318 51841 1
97086 5828 97086 1
9644 19287 9644 1
47517 95033 47517 1
58488 83024 58488 1
80818 38364 80818 1
85418 29164 85418 1
31348 62695 31348 1
40322 80643 40322 1
77261 45478 77261 1
86161 27678 86161 1
47963 95925 47963 1
4671 9341 4671 1
94784 10432 94784 1
68497 63006 68497 1
52943 94114 52943 1
10465 20929 10465 1
3962 7923 3962 1
51056 97888 51056 1
35955 71909 35955 1
98459 3082 98459 1
12681 25361 12681 1
95496 9008 95496 1
56908 86184 56908 1
35355 70709 35355 1
39940 79879 39940 1
55547 88906 55547 1
30761 61521 30761 1
33822 67643 33822 1
44282 88563 44282 1
75629 48742 75629 1
60983 78034 60983 1
